Team,Year,Win/Loss,Home/Away,Date,Opponent,SP,Kills,Errors,Attack Attempts,Hitting percentage,Assists,Service Aces,Service errors,Reception Errors,Digs,Block solo,Block assists,Blocking errors,Total Blocks,BHE,,,,,
Concordia St. Paul,2018,1,1,Oct 06 ,MINOT STATE  ,3 ,51 ,3 ,80 ,.600 ,46 ,8 ,5 ,5 ,36 ,2 ,6 ,0 ,5.0 ,2 ,,,,,
Concordia St. Paul,2018,1,1,Oct 09 ,MINNESOTA STATE  ,4 ,58 ,21 ,130 ,.285 ,55 ,4 ,7 ,0 ,51 ,2 ,12 ,2 ,8.0 ,0 ,,,,,
Concordia St. Paul,2018,1,0,Oct 12 ,at Bemidji State  ,3 ,45 ,15 ,106 ,.283 ,43 ,7 ,8 ,5 ,45 ,1 ,10 ,1 ,6.0 ,0 ,,,,,
Concordia St. Paul,2018,1,0,Oct 13 ,at Minnesota Crookston  ,4 ,62 ,16 ,123 ,.374 ,59 ,8 ,8 ,6 ,54 ,3 ,8 ,3 ,7.0 ,0 ,,,,,
Concordia St. Paul,2018,1,1,Oct 19 ,ST. CLOUD STATE  ,4 ,66 ,24 ,162 ,.259 ,66 ,8 ,9 ,2 ,81 ,0 ,10 ,2 ,5.0 ,2 ,,,,,
Concordia St. Paul,2018,1,1,Oct 20 ,MINNESOTA DULUTH  ,4 ,62 ,16 ,147 ,.313 ,59 ,8 ,7 ,2 ,60 ,1 ,8 ,1 ,5.0 ,0 ,,,,,
Concordia St. Paul,2018,0,0,Oct 26 ,at Southwest Minnesota  ,4 ,45 ,15 ,117 ,.256 ,45 ,5 ,8 ,7 ,48 ,1 ,6 ,0 ,4.0 ,0 ,,,,,
Concordia St. Paul,2018,0,0,Oct 27 ,at Sioux Falls  ,3 ,37 ,20 ,96 ,.177 ,36 ,2 ,2 ,3 ,29 ,2 ,0 ,2 ,2.0 ,1 ,,,,,
Concordia St. Paul,2018,1,1,Nov 02 ,AUGUSTANA (SD)  ,3 ,44 ,6 ,99 ,.384 ,41 ,10 ,6 ,1 ,39 ,2 ,7 ,2 ,5.5 ,1 ,,,,,
Concordia St. Paul,2018,0,1,Nov 03 ,WAYNE STATE (NEB.)  ,4 ,69 ,22 ,159 ,.296 ,66 ,4 ,8 ,6 ,55 ,0 ,12 ,1 ,6.0 ,1 ,,,,,
Concordia St. Paul,2018,0,1,Nov 06 ,SIOUX FALLS  ,4 ,56 ,16 ,135 ,.296 ,55 ,3 ,7 ,9 ,59 ,1 ,10 ,4 ,6.0 ,2 ,,,,,
Concordia St. Paul,2018,1,1,Nov 15 ,vs Southwest Minnesota  ,5 ,75 ,31 ,191 ,.230 ,73 ,5 ,7 ,6 ,98 ,0 ,12 ,2 ,6.0 ,2 ,,,,,
Concordia St. Paul,2017,0,0,Sep 09 ,vs Southwest Minnesota  ,4 ,65 ,24 ,171 ,.240 ,62 ,6 ,1 ,6 ,80 ,3 ,10 ,3 ,8.0 ,2 ,,,,,
Concordia St. Paul,2017,1,1,Sep 14 ,UPPER IOWA  ,4 ,63 ,15 ,160 ,.300 ,62 ,6 ,7 ,4 ,70 ,0 ,14 ,2 ,7.0 ,4 ,,,,,
Concordia St. Paul,2017,1,0,Sep 16 ,at Winona State Univ.  ,4 ,63 ,11 ,135 ,.385 ,63 ,5 ,7 ,9 ,64 ,0 ,13 ,0 ,6.5 ,1 ,,,,,
Concordia St. Paul,2017,1,1,Sep 19 ,MINNESOTA STATE  ,4 ,53 ,25 ,154 ,.182 ,51 ,10 ,8 ,8 ,57 ,1 ,10 ,1 ,6.0 ,0 ,,,,,
Concordia St. Paul,2017,1,1,Sep 22 ,MINOT STATE  ,3 ,41 ,11 ,91 ,.330 ,38 ,7 ,3 ,1 ,39 ,4 ,6 ,1 ,7.0 ,0 ,,,,,
Concordia St. Paul,2017,1,1,Sep 23 ,U-MARY  ,4 ,53 ,17 ,117 ,.308 ,53 ,8 ,5 ,7 ,53 ,2 ,12 ,1 ,8.0 ,0 ,,,,,
Concordia St. Paul,2017,1,0,Sep 29 ,at MSU Moorhead  ,4 ,67 ,25 ,190 ,.221 ,62 ,2 ,10 ,2 ,77 ,1 ,10 ,0 ,6.0 ,0 ,,,,,
Concordia St. Paul,2017,1,0,Sep 30 ,at Northern State  ,3 ,46 ,12 ,119 ,.286 ,43 ,5 ,5 ,1 ,53 ,0 ,12 ,0 ,6.0 ,0 ,,,,,
Concordia St. Paul,2017,1,0,Oct 06 ,at St. Cloud State  ,3 ,49 ,8 ,91 ,.451 ,48 ,7 ,6 ,2 ,53 ,1 ,6 ,2 ,4.0 ,0 ,,,,,
Concordia St. Paul,2017,0,0,Oct 07 ,at Minnesota Duluth  ,4 ,53 ,14 ,160 ,.244 ,52 ,4 ,7 ,3 ,66 ,3 ,12 ,2 ,9.0 ,1 ,,,,,
Concordia St. Paul,2017,1,1,Oct 13 ,BEMIDJI STATE  ,3 ,49 ,6 ,85 ,.506 ,46 ,7 ,6 ,1 ,41 ,0 ,18 ,2 ,9.0 ,1 ,,,,,
Concordia St. Paul,2017,1,1,Oct 14 ,MINNESOTA CROOKSTON  ,3 ,53 ,14 ,130 ,.300 ,50 ,5 ,6 ,0 ,51 ,0 ,2 ,0 ,1.0 ,0 ,,,,,
Concordia St. Paul,2017,1,1,Oct 20 ,WAYNE STATE (NE)  ,3 ,46 ,8 ,91 ,.418 ,45 ,13 ,7 ,0 ,52 ,0 ,6 ,2 ,3.0 ,1 ,,,,,
Concordia St. Paul,2017,1,1,Oct 21 ,AUGUSTANA (SD)  ,4 ,70 ,18 ,154 ,.338 ,65 ,8 ,5 ,4 ,68 ,2 ,18 ,2 ,11.0 ,2 ,,,,,
Concordia St. Paul,2017,1,0,Oct 27 ,at Sioux Falls  ,3 ,53 ,17 ,117 ,.308 ,48 ,4 ,6 ,7 ,50 ,0 ,16 ,0 ,8.0 ,1 ,,,,,
Concordia St. Paul,2017,1,0,Oct 28 ,at Southwest Minnesota  ,4 ,60 ,18 ,135 ,.311 ,54 ,3 ,5 ,5 ,49 ,1 ,6 ,0 ,4.0 ,1 ,,,,,
Concordia St. Paul,2017,1,0,Oct 31 ,at Minnesota State  ,4 ,59 ,21 ,143 ,.266 ,56 ,5 ,7 ,4 ,74 ,6 ,2 ,1 ,7.0 ,0 ,,,,,
Concordia St. Paul,2017,1,1,Nov 03 ,NORTHERN STATE  ,5 ,75 ,21 ,224 ,.241 ,72 ,4 ,7 ,6 ,83 ,2 ,16 ,4 ,10.0 ,0 ,,,,,
Concordia St. Paul,2017,1,1,Nov 04 ,MSU MOORHEAD  ,3 ,51 ,11 ,103 ,.388 ,48 ,5 ,5 ,3 ,53 ,0 ,12 ,1 ,6.0 ,2 ,,,,,
Concordia St. Paul,2017,1,0,Nov 10 ,at U-Mary  ,3 ,39 ,12 ,84 ,.321 ,39 ,7 ,3 ,2 ,33 ,1 ,10 ,0 ,6.0 ,0 ,,,,,
Concordia St. Paul,2017,1,0,Nov 11 ,at Minot State  ,3 ,47 ,7 ,83 ,.482 ,44 ,5 ,6 ,2 ,33 ,2 ,4 ,1 ,4.0 ,0 ,,,,,
Concordia St. Paul,2017,1,1,Nov 15 ,WAYNE STATE (NE)  ,5 ,76 ,24 ,186 ,.280 ,67 ,7 ,16 ,4 ,79 ,0 ,13 ,1 ,6.5 ,1 ,,,,,
Concordia St. Paul,2017,1,1,Nov 18 ,MINNESOTA DULUTH  ,5 ,55 ,22 ,158 ,.209 ,52 ,12 ,9 ,6 ,74 ,5 ,12 ,1 ,11.0 ,2 ,,,,,
Concordia St. Paul,2017,0,1,Nov 19 ,SOUTHWEST MINNESOTA  ,3 ,34 ,14 ,113 ,.177 ,34 ,0 ,4 ,7 ,54 ,2 ,4 ,0 ,4.0 ,0 ,,,,,
Concordia St. Paul,2017,1,1,Dec 02 ,vs Minnesota Duluth  ,4 ,58 ,18 ,136 ,.294 ,56 ,5 ,5 ,7 ,63 ,2 ,22 ,1 ,13.0 ,1 ,,,,,
Mary,2019,0,1,Sep 20 ,SOUTHWEST MINNESOTA  ,3,19,15.00,88.00,0.045,18,5,0,8,31,0,4,3,2,0,,,,,
Mary,2019,0,1,Sep 21 ,SIOUX FALLS  ,3,35,14.00,85.00,0.247,34,3,5,8,31,1,4,4,3,0,,,,,
Mary,2019,0,0,Sep 27 ,AUGUSTANA,3,26,22.00,106.00,0.038,23,3,1,6,44,0,0,1,0,0,,,,,
Mary,2019,0,0,Sep 28 ,WAYNE ST. (NE)  ,3,26,25.00,109.00,0.009,23,1,2,6,58,0,10,0,5,3,,,,,
Mary,2019,0,0, Oct 1,MINOT ST.  ,3,23,18.00,122.00,0.041,23,1,3,5,42,2,0,0,2,0,,,,,
Mary,2019,0,1,Oct 04 ,MINN. DULUTH  ,3,26,24.00,102.00,0.020,23,1,2,2,33,0,4,1,2,0,,,,,
Mary,2019,0,1,Oct 05 ,ST. CLOUD ST.  ,4,35,24.00,150.00,0.073,32,3,7,7,60,1,18,2,10,0,,,,,
Mary,2019,0,0,Oct 11 ,MINN.-CROOKSTON  ,4,49,30.00,181.00,0.105,42,7,5,5,78,2,12,1,8,0,,,,,
Mary,2019,0,0,Oct 12 ,BEMIDJI STATE  ,4,49,29.00,158.00,0.127,48,5,12,8,71,5,6,2,8,0,,,,,
Mary,2019,0,0,Oct 15 ,MSU MOORHEAD  ,4,47,27.00,152.00,0.132,45,5,7,4,74,1,6,0,4,0,,,,,
Mary,2019,0,1,Oct 18 ,MINNESOTA STATE  ,3,29,19.00,97.00,0.103,25,2,6,2,33,2,14,3,9,0,,,,,
Mary,2019,0,1,Oct 19 ,CONCORDIA-ST. PAUL  ,3,28,12.00,97.00,0.165,25,0,1,8,42,2,6,3,5,0,,,,,
Mary,2019,0,0,Oct 25 ,WINONA STATE  ,3,23,20.00,95.00,0.032,21,1,9,8,36,0,6,0,3,0,,,,,
Mary,2019,0,0,Oct 26 ,UPPER IOWA  ,3,23,21.00,100.00,0.020,21,0,2,7,38,0,0,0,0,0,,,,,
Mary,2019,0,1,Oct 31 ,MINOT ST.  ,3,27,20.00,113.00,0.062,25,2,6,5,40,0,12,0,6,0,,,,,
Mary,2019,0,0,11/2,NORTHERN ST.  ,3,21,21.00,90.00,0.000,20,3,4,7,28,1,6,2,4,4,,,,,
Mary,2019,0,1,11/5,MSU MOORHEAD  ,4,48,30.00,154.00,0.117,47,10,4,9,67,1,12,3,7,0,,,,,
Mary,2019,0,1,11/8,AUGUSTANA,3,28,19.00,108.00,0.083,28,4,2,9,45,2,8,0,6,0,,,,,
Mary,2019,0,1,11/9,WAYNE ST. (NE)  ,3,33,15.00,106.00,0.170,26,3,5,7,39,2,2,5,3,0,,,,,
Mary,2019,0,0,Nov 15 ,SOUTHWEST MINNESOTA  ,4,43,20.00,130.00,0.177,37,4,3,8,57,1,0,0,1,3,,,,,
Mary,2019,0,0,11/16,SIOUX FALLS  ,3,25,20.00,116.00,0.043,25,4,6,6,45,2,2,4,3,1,,,,,
Mary,2018,0,0,9/5,NORTHERN ST.  ,3,22,20.00,84.00,0.024,19,4,5,3,22,0,2,3,1,0,,,,,
Mary,2018,0,1,9/8,MSU MOORHEAD  ,3,32,17.00,112.00,0.134,31,5,6,5,42,1,2,1,2,2,,,,,
Mary,2018,0,1,Sep 11 ,MINOT ST.  ,3,37,21.00,103.00,0.155,35,3,7,3,38,1,10,0,6,0,,,,,
Mary,2018,0,1,Sep 14 ,ST. CLOUD ST.  ,3,31,15.00,123.00,0.130,26,4,6,4,58,2,10,1,7,0,,,,,
Mary,2018,0,1,Sep 15 ,MINNESOTA DULUTH  ,3,19,16.00,77.00,0.039,18,0,6,8,24,1,6,0,4,0,,,,,
Mary,2018,0,0,Sep 21 ,BEMIDJI STATE  ,4,39,25.00,142.00,0.099,37,4,12,9,66,4,2,0,5,6,,,,,
Mary,2018,0,0,Sep 22 ,UM CROOKSTON  ,3,17,15.00,96.00,0.021,17,2,8,10,35,0,4,4,2,0,,,,,
Mary,2018,0,1,Sep 28 ,UPPER IOWA  ,3,15,23.00,90.00,-0.089,13,2,4,3,32,0,0,2,0,0,,,,,
Mary,2018,0,1,Sep 29 ,WINONA STATE  ,3,29,15.00,94.00,0.149,27,6,6,1,39,1,4,2,3,0,,,,,
Mary,2018,0,0,10/5,CONCORDIA-ST. PAUL  ,3,26,18.00,93.00,0.086,26,2,6,3,35,1,12,2,7,3,,,,,
Mary,2018,0,0,Oct 06 ,MINNESOTA STATE  ,3,26,19.00,99.00,0.071,25,7,3,8,44,4,2,2,5,4,,,,,
Mary,2018,0,0,Oct 09 ,MINOT ST.  ,3,34,19.00,111.00,0.135,33,4,3,3,46,0,10,1,5,4,,,,,
Mary,2018,0,1,Oct 12 ,SIOUX FALLS  ,3,19,19.00,82.00,0.000,16,1,5,5,21,0,0,4,0,0,,,,,
Mary,2018,0,1,Oct 13 ,SOUTHWEST MINNESOTA  ,3,23,18.00,120.00,0.042,22,0,5,3,55,1,14,4,8,0,,,,,
Mary,2018,0,0,Oct 19 ,WAYNE ST. (NE)  ,3,24,20.00,97.00,0.041,23,2,4,11,48,0,2,1,1,4,,,,,
Mary,2018,0,0,Oct 20 ,AUGUSTANA,3,25,24.00,97.00,0.010,25,1,6,12,42,0,12,1,6,1,,,,,
Mary,2018,1,1,Oct 26 ,UM CROOKSTON  ,4,55,26.00,151.00,0.192,53,7,6,2,70,0,8,1,4,0,,,,,
Mary,2018,0,1,Oct 27 ,BEMIDJI STATE  ,4,48,32.00,159.00,0.101,44,3,10,5,67,2,4,2,4,0,,,,,
Mary,2018,0,0,Nov 02 ,MINN. DULUTH  ,3,17,14.00,81.00,0.037,16,5,6,5,29,3,8,0,7,3,,,,,
Mary,2018,0,0,Nov 03 ,ST. CLOUD ST.  ,3,26,19.00,119.00,0.059,24,3,7,3,48,0,12,1,6,3,,,,,
Mary,2017,0,1,Sep 14 ,NORTHERN ST.  ,3,22,23.00,92.00,-0.011,21,3,5,7,28,1,0,0,1,0,,,,,
Mary,2017,0,0,Sep 16 ,MSU MOORHEAD  ,4,51,29.00,166.00,0.133,49,6,10,8,61,0,14,0,7,0,,,,,
Mary,2017,1,0,Sep 19 ,MINOT ST.  ,4,57,24.00,149.00,0.221,55,4,8,2,62,4,6,2,7,2,,,,,
Mary,2017,0,0,Sep 22 ,MINNESOTA ST.  ,3,23,21.00,91.00,0.022,22,4,5,7,38,1,6,0,4,2,,,,,
Mary,2017,0,0,Sep 23 ,CONCORDIA-ST. PAUL  ,4,39,22.00,123.00,0.138,39,7,7,8,41,0,10,5,5,2,,,,,
Mary,2017,0,1,Sep 29 ,WINONA ST.  ,3,36,15.00,112.00,0.188,35,1,5,6,56,0,6,0,3,0,,,,,
Mary,2017,0,1,Sep 30 ,UPPER IOWA  ,4,55,30.00,163.00,0.153,54,5,9,3,60,0,10,0,5,1,,,,,
Mary,2017,0,1,Oct 06 ,WAYNE ST. (NE)  ,3,34,25.00,98.00,0.092,33,4,9,5,38,1,6,1,4,0,,,,,
Mary,2017,0,1,Oct 07 ,AUGUSTANA,3,26,20.00,94.00,0.064,26,2,3,10,39,0,4,6,2,0,,,,,
Mary,2017,0,0,Oct 13 ,SIOUX FALLS  ,4,50,31.00,140.00,0.136,47,6,10,7,45,2,16,4,10,0,,,,,
Mary,2017,0,0,Oct 14 ,SOUTHWEST MINNESOTA  ,3,32,20.00,93.00,0.129,32,1,6,4,41,0,4,0,2,0,,,,,
Mary,2017,0,0,Oct 20 ,ST. CLOUD ST.  ,5,52,26.00,171.00,0.152,49,9,8,9,87,2,6,1,5,3,,,,,
Mary,2017,0,0,Oct 21 ,MINNESOTA DULUTH  ,3,24,26.00,90.00,-0.022,22,4,8,3,27,0,0,0,0,2,,,,,
Mary,2017,1,1,Oct 27 ,BEMIDJI STATE  ,3,52,14.00,116.00,0.328,48,3,5,3,50,0,6,1,3,1,,,,,
Mary,2017,1,1,Oct 28 ,UM CROOKSTON  ,3,44,20.00,115.00,0.209,42,3,11,2,47,1,8,2,5,1,,,,,
Mary,2017,1,1,Oct 31 ,MINOT ST.  ,3,47,8.00,91.00,0.429,47,12,9,1,36,0,6,1,3,0,,,,,
Mary,2017,0,0,Nov 03 ,UPPER IOWA  ,3,37,18.00,97.00,0.196,37,1,5,4,38,2,4,1,4,1,,,,,
Mary,2017,0,0,Nov 04 ,WINONA ST.  ,3,29,19.00,93.00,0.108,28,3,7,5,31,1,4,1,3,0,,,,,
Mary,2017,0,1,Nov 10 ,CONCORDIA-ST. PAUL  ,3,33,19.00,90.00,0.156,33,2,6,7,27,0,8,0,4,3,,,,,
Mary,2017,0,1,Nov 11 ,MINNESOTA ST.  ,3,45,15.00,113.00,0.265,44,3,10,6,45,1,8,1,5,1,,,,,
Crookston,2019,0,1,9/20,CONCORDIA-ST. PAUL  ,3,24,12.00,89.00,0.135,21,2,4,8,29,1,0,0,1,0,,,,,
Crookston,2019,0,1,9/21,MINNESOTA ST.  ,4,33,10.00,112.00,0.205,30,7,7,10,44,3,4,0,5,0,,,,,
Crookston,2019,0,0,9/27,UPPER IOWA  ,3,26,18.00,100.00,0.080,25,1,6,4,40,2,8,0,6,1,,,,,
Crookston,2019,0,0,9/28,WINONA ST.  ,3,26,18.00,124.00,0.065,22,1,2,5,52,3,4,1,5,0,,,,,
Crookston,2019,0,0,10/4,NORTHERN ST.  ,3,29,17.00,88.00,0.136,24,1,3,7,27,1,12,0,7,3,,,,,
Crookston,2019,0,0,10/5,MSU MOORHEAD  ,4,49,26.00,154.00,0.149,42,4,5,7,78,0,14,0,7,0,,,,,
Crookston,2019,1,1,10/11,MARY  ,4,42,15.00,147.00,0.184,41,5,8,7,77,0,8,0,4,0,,,,,
Crookston,2019,1,1,10/12,MINOT ST.  ,5,64,25.00,232.00,0.168,60,7,3,3,120,2,18,2,11,0,,,,,
Crookston,2019,0,1,10/15,ST. CLOUD ST.  ,3,15,12.00,84.00,0.036,14,5,1,14,26,2,6,0,5,0,,,,,
Crookston,2019,0,0,10/18,SIOUX FALLS  ,3,23,9.00,96.00,0.146,19,1,4,10,39,2,6,1,5,2,,,,,
Crookston,2019,0,0,10/19,SOUTHWEST MINNESOTA  ,4,40,13.00,130.00,0.208,33,4,5,6,50,2,7,0,5.5,1,,,,,
Crookston,2019,0,1,10/25,WAYNE ST. (NE)  ,3,28,14.00,103.00,0.136,25,1,8,7,34,0,6,0,3,0,,,,,
Crookston,2019,0,1,10/26,AUGUSTANA,3,26,12.00,128.00,0.109,25,0,4,7,49,2,0,1,2,0,,,,,
Crookston,2019,0,1,10/31,BEMIDJI STATE  ,4,32,23.00,116.00,0.078,32,10,7,6,35,4,2,0,5,0,,,,,
Crookston,2019,0,0,11/2,MINN. DULUTH  ,3,24,11.00,108.00,0.120,22,2,2,2,49,0,4,0,2,3,,,,,
Crookston,2019,0,0,11/5,ST. CLOUD ST.  ,3,25,19.00,107.00,0.056,25,2,1,5,48,0,2,1,1,2,,,,,
Crookston,2019,0,1,11/8,UPPER IOWA  ,3,24,16.00,120.00,0.067,24,2,5,3,45,2,2,0,3,0,,,,,
Crookston,2019,0,1,11/9,WINONA ST.  ,3,20,20.00,117.00,0.000,20,2,4,7,54,1,2,0,2,0,,,,,
Crookston,2019,0,0,11/15,CONCORDIA-ST. PAUL  ,3,31,11.00,108.00,0.185,29,2,2,10,43,1,4,4,3,1,,,,,
Crookston,2019,0,0,11/16,MINNESOTA ST.  ,3,25,17.00,106.00,0.075,25,2,3,6,48,1,2,1,2,1,,,,,
Crookston,2018,0,0,9/6,ST. CLOUD ST.  ,3,15,18.00,76.00,-0.039,15,4,6,8,37,1,6,0,4,3,,,,,
Crookston,2018,0,0,9/8,MINN. DULUTH  ,3,23,15.00,93.00,0.086,22,0,6,4,33,1,10,1,6,0,,,,,
Crookston,2018,0,0,9/11,BEMIDJI STATE  ,3,25,21.00,103.00,0.039,20,1,4,9,55,4,4,0,6,2,,,,,
Crookston,2018,0,0,9/14,MSU MOORHEAD  ,4,34,23.00,155.00,0.071,31,8,7,3,84,1,14,3,8,0,,,,,
Crookston,2018,0,0,9/15,NORTHERN ST.  ,3,22,17.00,106.00,0.047,20,1,2,6,37,0,2,0,1,0,,,,,
Crookston,2018,0,1,9/21,MINOT ST.  ,5,57,26.00,175.00,0.177,55,7,7,4,81,2,10,3,7,0,,,,,
Crookston,2018,1,1,9/22,MARY  ,3,37,10.00,84.00,0.321,37,10,4,2,57,1,2,1,2,0,,,,,
Crookston,2018,0,1,9/28,SOUTHWEST MINNESOTA  ,3,25,11.00,109.00,0.128,24,1,2,8,57,4,2,0,5,0,,,,,
Crookston,2018,0,1,9/29,SIOUX FALLS  ,3,23,12.00,93.00,0.118,23,3,0,12,42,2,2,0,3,0,,,,,
Crookston,2018,0,0,10/5,AUGUSTANA,3,32,12.00,108.00,0.185,29,3,6,9,58,1,4,1,3,0,,,,,
Crookston,2018,0,0,10/6,WAYNE ST. (NE)  ,3,17,16.00,84.00,0.012,17,2,5,11,39,0,2,0,1,2,,,,,
Crookston,2018,1,1,10/9,BEMIDJI STATE  ,3,30,12.00,102.00,0.176,29,8,9,1,49,1,8,0,5,0,,,,,
Crookston,2018,0,1,10/12,MINNESOTA ST.  ,4,51,22.00,161.00,0.180,46,5,9,6,69,2,4,1,4,0,,,,,
Crookston,2018,0,1,10/13,CONCORDIA-ST. PAUL  ,4,31,15.00,105.00,0.152,28,6,2,8,34,2,2,1,3,0,,,,,
Crookston,2018,0,0,10/19,WINONA ST.  ,3,23,13.00,87.00,0.115,22,2,9,5,37,0,4,0,2,0,,,,,
Crookston,2018,0,0,10/20,UPPER IOWA  ,3,18,15.00,79.00,0.038,16,2,4,7,30,0,4,3,2,1,,,,,
Crookston,2018,0,0,10/26,MARY  ,4,49,19.00,149.00,0.201,41,2,9,7,60,0,10,1,5,0,,,,,
Crookston,2018,0,0,10/27,MINOT ST.  ,3,27,20.00,115.00,0.061,26,4,2,4,46,1,2,1,2,4,,,,,
Crookston,2018,0,1,11/2,MSU MOORHEAD  ,4,52,22.00,181.00,0.166,51,4,6,4,88,2,8,0,6,0,,,,,
Crookston,2018,0,1,11/3,NORTHERN ST.  ,3,30,21.00,102.00,0.088,28,4,6,2,35,0,8,0,4,0,,,,,
Crookston,2017,0,0,9/9,MINNESOTA ST.  ,3,18,19.00,96.00,-0.010,17,3,1,6,40,0,4,3,2,0,,,,,
Crookston,2017,0,0,9/9,NORTHERN ST.  ,3,14,22.00,90.00,-0.089,14,0,1,10,35,1,4,0,3,0,,,,,
Crookston,2017,0,0,9/14,MINN. DULUTH  ,3,33,17.00,93.00,0.172,33,1,5,4,35,1,0,0,1,0,,,,,
Crookston,2017,0,1,9/16,ST. CLOUD ST.  ,3,37,16.00,122.00,0.172,34,0,5,7,64,2,4,1,4,0,,,,,
Crookston,2017,1,1,9/19,BEMIDJI STATE  ,5,59,34.00,164.00,0.152,56,5,7,4,83,4,10,1,9,0,,,,,
Crookston,2017,0,1,9/22,SIOUX FALLS  ,4,48,29.00,143.00,0.133,47,7,9,6,56,2,16,1,10,0,,,,,
Crookston,2017,0,1,9/23,SOUTHWEST MINNESOTA  ,3,21,14.00,101.00,0.069,20,2,3,3,42,1,8,5,5,0,,,,,
Crookston,2017,0,0,9/29,WAYNE ST. (NE)  ,3,34,20.00,133.00,0.105,33,1,3,2,74,0,10,1,5,3,,,,,
Crookston,2017,0,0,9/30,AUGUSTANA,3,30,16.00,121.00,0.116,27,1,2,7,60,0,14,0,7,0,,,,,
Crookston,2017,0,1,10/6,WINONA ST.  ,3,25,12.00,107.00,0.121,24,4,2,7,50,0,8,2,4,0,,,,,
Crookston,2017,0,1,10/7,UPPER IOWA  ,3,40,16.00,124.00,0.194,37,5,2,5,70,0,4,1,2,0,,,,,
Crookston,2017,0,0,10/13,MINNESOTA ST.  ,4,45,27.00,125.00,0.144,44,1,4,10,50,4,0,1,4,2,,,,,
Crookston,2017,0,0,10/14,CONCORDIA-ST. PAUL  ,3,31,13.00,99.00,0.182,28,0,4,5,58,2,14,4,9,0,,,,,
Crookston,2017,1,1,10/20,MSU MOORHEAD  ,4,65,26.00,190.00,0.205,61,1,8,2,102,1,10,1,6,0,,,,,
Crookston,2017,0,1,10/21,NORTHERN ST.  ,3,32,15.00,96.00,0.177,29,0,3,5,40,0,12,2,6,0,,,,,
Crookston,2017,1,0,10/27,MINOT ST.  ,3,44,16.00,116.00,0.241,42,4,2,4,62,0,2,1,1,2,,,,,
Crookston,2017,0,0,10/28,MARY  ,3,27,21.00,96.00,0.063,27,2,3,3,42,1,8,1,5,3,,,,,
Crookston,2017,1,0,10/31,BEMIDJI STATE  ,3,40,9.00,102.00,0.304,36,1,4,3,52,3,4,2,5,1,,,,,
Crookston,2017,0,1,11/3,AUGUSTANA,3,27,12.00,129.00,0.116,26,1,0,3,66,1,10,0,6,0,,,,,
Crookston,2017,0,1,11/4,WAYNE ST. (NE)  ,3,28,17.00,102.00,0.108,26,3,5,4,52,0,4,1,2,0,,,,,
Crookston,2017,0,0,11/10,SOUTHWEST MINNESOTA  ,3,21,13.00,95.00,0.084,20,1,1,6,44,1,4,0,3,1,,,,,
Crookston,2017,0,0,11/11,SIOUX FALLS  ,4,30,18.00,116.00,0.103,29,4,1,9,51,1,20,4,11,4,,,,,
Duluth,2019,1,1,09/20/19  ,UPPER IOWA  ,3 ,53 ,20 ,130 ,.254 ,48 ,3 ,6 ,2 ,53 ,1 ,6 ,1 ,4.0 ,2 ,,,,,
Duluth,2019,1,1,09/21/19  ,WINONA ST.  ,3 ,46 ,13 ,101 ,.327 ,44 ,6 ,6 ,2 ,46 ,1 ,6 ,1 ,4.0 ,1 ,,,,,
Duluth,2019,1,0,09/27/19  ,at Concordia-St. Paul  ,3 ,49 ,17 ,115 ,.278 ,47 ,6 ,1 ,4 ,48 ,0 ,4 ,0 ,2.0 ,1 ,,,,,
Duluth,2019,1,0,09/28/19  ,at Minnesota St.  ,4 ,65 ,27 ,168 ,.226 ,59 ,5 ,8 ,2 ,68 ,0 ,2 ,4 ,1.0 ,2 ,,,,,
Duluth,2019,1,0,10/04/19  ,vs Mary  ,3 ,45 ,10 ,95 ,.368 ,42 ,2 ,5 ,1 ,46 ,0 ,8 ,1 ,4.0 ,0 ,,,,,
Duluth,2019,1,0,10/05/19  ,vs Minot St.  ,3 ,40 ,12 ,103 ,.272 ,38 ,6 ,1 ,1 ,47 ,0 ,12 ,0 ,6.0 ,0 ,,,,,
Duluth,2019,0,1,10/11/19  ,NORTHERN ST.  ,5 ,69 ,29 ,170 ,.235 ,66 ,3 ,7 ,4 ,76 ,2 ,8 ,3 ,6.0 ,0 ,,,,,
Duluth,2019,1,1,10/12/19  ,MSU MOORHEAD  ,3 ,54 ,20 ,118 ,.288 ,49 ,2 ,5 ,4 ,53 ,2 ,10 ,1 ,7.0 ,0 ,,,,,
Duluth,2019,1,0,10/15/19  ,at Bemidji St.  ,3 ,40 ,23 ,94 ,.181 ,39 ,6 ,7 ,5 ,45 ,2 ,6 ,0 ,5.0 ,0 ,,,,,
Duluth,2019,1,0,10/18/19  ,at Wayne St. (NE)  ,5 ,75 ,31 ,185 ,.238 ,73 ,3 ,13 ,3 ,90 ,1 ,20 ,1 ,11.0 ,4 ,,,,,
Duluth,2019,1,0,10/19/19  ,at Augustana (SD)  ,3 ,48 ,16 ,116 ,.276 ,45 ,7 ,1 ,5 ,59 ,1 ,2 ,0 ,2.0 ,1 ,,,,,
Duluth,2019,1,1,10/25/19  ,SIOUX FALLS  ,3 ,46 ,7 ,101 ,.386 ,46 ,3 ,5 ,4 ,56 ,1 ,10 ,0 ,6.0 ,0 ,,,,,
