Team,Year,Win/Loss,Home/Away,Date,Opponent,SP,Kills,Errors,Attack Attempts,Hitting percentage,Assists,Service Aces,Service errors,Reception Errors,Digs,Block solo,Block assists,Blocking errors,Total Blocks,BHE,,,,,
Augustana,2018,0,0,Sep 28 ,at Minnesota Duluth  ,3 ,32 ,14 ,100 ,.180 ,29 ,1 ,4 ,2 ,29 ,1 ,6 ,2 ,4.0 ,1 ,,,,,
Augustana,2018,0,0,Sep 29 ,at St. Cloud State  ,3 ,24 ,17 ,116 ,.060 ,22 ,3 ,4 ,8 ,54 ,1 ,0 ,3 ,1.0 ,1 ,,,,,
Augustana,2018,1,1,Oct 05 ,UMC  ,3 ,44 ,13 ,119 ,.261 ,42 ,9 ,3 ,3 ,60 ,1 ,2 ,2 ,2.0 ,0 ,,,,,
Augustana,2018,1,1,Oct 06 ,BEMIDJI STATE  ,3 ,43 ,16 ,121 ,.223 ,40 ,7 ,4 ,5 ,58 ,0 ,4 ,1 ,2.0 ,1 ,,,,,
Augustana,2018,0,0,Oct 09 ,at Wayne State (Neb.)  ,3 ,45 ,15 ,136 ,.221 ,43 ,2 ,7 ,5 ,73 ,0 ,6 ,0 ,3.0 ,2 ,,,,,
Augustana,2018,0,1,Oct 12 ,at MSU Moorhead  ,4 ,57 ,23 ,176 ,.193 ,53 ,11 ,8 ,3 ,98 ,1 ,6 ,1 ,4.0 ,0 ,,,,,
Augustana,2018,0,0,Oct 13 ,at Northern State  ,4 ,47 ,23 ,163 ,.147 ,46 ,7 ,5 ,9 ,78 ,2 ,6 ,0 ,5.0 ,0 ,,,,,
Augustana,2018,1,1,Oct 19 ,MINOT  ,3 ,41 ,12 ,98 ,.296 ,40 ,11 ,6 ,4 ,38 ,0 ,8 ,2 ,4.0 ,1 ,,,,,
Augustana,2018,1,1,Oct 20 ,MARY  ,3 ,32 ,11 ,87 ,.241 ,30 ,12 ,3 ,1 ,45 ,3 ,6 ,1 ,6.0 ,1 ,,,,,
Augustana,2018,0,1,Oct 26 ,UPPER IOWA  ,3 ,35 ,19 ,111 ,.144 ,34 ,3 ,2 ,7 ,47 ,0 ,10 ,2 ,5.0 ,2 ,,,,,
